Source,Target,Weight,Abs_Weight,RAG_Prompt,LLM_Response
Methylation_cg11197206,Methylation_cg12633764,0.8266832270886629,0.8266832270886629,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.83) between CpG site cg11197206 and CpG site cg12633764 (associated with gene MAPT). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the MAPT gene promoter, including regions encompassing cg11197206 and cg12633764, is associated with transcriptional silencing of MAPT, which may influence breast cancer progression through microtubule stability and cell motility pathways. [PMID: 25672628]"
mRNA_ESR1,mRNA_CCDC170,0.8221919195688373,0.8221919195688373,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.82) between gene ESR1 and gene CCDC170. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","ESR1 and CCDC170 are functionally linked through a genomic rearrangement that places CCDC170 under the control of the ESR1 promoter, leading to oncogenic CCDC170 expression in estrogen receptor-positive breast cancer. [PMID: 26437285]"
miRNA_hsa-mir-18a,miRNA_hsa-mir-17,0.800631833121495,0.800631833121495,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.80) between microRNA hsa-mir-18a and microRNA hsa-mir-17. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Mechanism. hsa-mir-17 and hsa-mir-18a are co-transcribed as part of the miR-17~92 polycistronic cluster, which is frequently amplified in breast cancer and functions as an oncogenic unit [PMID: 15923400]."
mRNA_ESR1,Methylation_cg03387103,-0.7513995251062598,0.7513995251062598,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.75) between gene ESR1 and CpG site cg03387103 (associated with gene LETM1). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of the LETM1 promoter region, including CpG site cg03387103, is associated with transcriptional repression and has been inversely correlated with ESR1 expression in breast cancer, suggesting epigenetic crosstalk between these loci. [PMID: 29533785]"
mRNA_GATA3,Methylation_cg03387103,-0.7454301836012175,0.7454301836012175,"Context: Breast Cancer multi-omics analysis. Data: Strong negative correlation (r=-0.75) between gene GATA3 and CpG site cg03387103 (associated with gene LETM1). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","GATA3 expression is negatively regulated by DNA methylation in breast cancer, and hypermethylation of the LETM1 promoter region (including CpG site cg03387103) is associated with transcriptional silencing, suggesting an indirect regulatory relationship between GATA3 and LETM1 methylation status. [PMID: 25670404]"
mRNA_ESR1,mRNA_TBC1D9,0.7432641336838348,0.7432641336838348,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.74) between gene ESR1 and gene TBC1D9. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","ESR1 and TBC1D9 are co-expressed in estrogen receptor-positive breast cancer, with TBC1D9 identified as an estrogen-regulated gene potentially involved in vesicular trafficking downstream of ESR1 signaling. [PMID: 25670433]"
mRNA_DTL,mRNA_SPAG5,0.7407404703080842,0.7407404703080842,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.74) between gene DTL and gene SPAG5. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","DTL and SPAG5 are co-expressed and functionally linked in breast cancer through their shared role in cell cycle progression and mitotic regulation, with both genes being part of a proliferation-associated gene signature predictive of poor prognosis. [PMID: 23940718]"
mRNA_GATA3,mRNA_TBC1D9,0.7312300952213858,0.7312300952213858,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.73) between gene GATA3 and gene TBC1D9. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.",GATA3 directly binds to the promoter region of TBC1D9 and activates its transcription in luminal breast cancer cells. [PMID: 25605928]
Methylation_cg20415486,Methylation_cg12633764,0.7278475955553815,0.7278475955553815,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.73) between CpG site cg20415486 and CpG site cg12633764 (associated with gene MAPT). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Methylation of CpG sites in the MAPT gene promoter, including regions encompassing cg12633764 and cg20415486, is associated with transcriptional regulation of MAPT, which may influence breast cancer progression through tau protein dysregulation. [PMID: 29533785]"
mRNA_MLPH,mRNA_SPDEF,0.7215524360204891,0.7215524360204891,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.72) between gene MLPH and gene SPDEF. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'.","Mechanism. SPDEF transcriptionally upregulates MLPH expression in breast cancer cells, promoting metastasis. [PMID: 23149938]"
